category,make,model,trim,kbb_true_price,trim_url
COMPACT,Subaru,Impreza,"Wagon 2.0i Manual, 5-Spd","$18,246 - $19,125",https://www.kbb.com/subaru/impreza/2016/20i/?vehicleid=412255&intent=buy-new&category=wagon
COMPACT,Subaru,Impreza,"Wagon 2.0i Automatic, CVT w/Manual Mode","$19,195 - $20,118",https://www.kbb.com/subaru/impreza/2016/20i/?vehicleid=412269&intent=buy-new&category=wagon
COMPACT,Subaru,Impreza,"Wagon 2.0i Sport Premium Manual, 5-Spd","$20,277 - $21,261",https://www.kbb.com/subaru/impreza/2016/20i-sport-premium/?vehicleid=412256&intent=buy-new&category=wagon
COMPACT,Subaru,Impreza,"Wagon 2.0i Sport Premium Automatic, CVT w/Manual Mode","$21,203 - $22,232",https://www.kbb.com/subaru/impreza/2016/20i-sport-premium/?vehicleid=412274&intent=buy-new&category=wagon
COMPACT,Subaru,Impreza,"Wagon 2.0i Premium Automatic, CVT w/Manual Mode","$20,901 - $21,906",https://www.kbb.com/subaru/impreza/2016/20i-premium/?vehicleid=412267&intent=buy-new&category=wagon
COMPACT,Subaru,Impreza,"Wagon 2.0i Limited Automatic, CVT w/Manual Mode","$22,282 - $23,355",https://www.kbb.com/subaru/impreza/2016/20i-limited/?vehicleid=412259&intent=buy-new&category=wagon
COMPACT,Subaru,Impreza,"Wagon 2.0i Sport Limited Automatic, CVT w/Manual Mode","$22,656 - $23,751",https://www.kbb.com/subaru/impreza/2016/20i-sport-limited/?vehicleid=412242&intent=buy-new&category=wagon
COMPACT,Toyota,Yaris,"4-door SE Manual, 5-Spd","$16,360 - $17,195",https://www.kbb.com/toyota/yaris/2016/se/?vehicleid=412958&intent=buy-new&category=hatchback
COMPACT,Toyota,Corolla,"L 4-Cyl, 1.8 L Manual, 6-Spd","$16,265 - $17,456",https://www.kbb.com/toyota/corolla/2016/l/?vehicleid=411859&intent=buy-new&category=sedan
COMPACT,Toyota,Corolla,"S Plus 4-Cyl, 1.8 L Manual, 6-Spd","$19,975 - $21,453",https://www.kbb.com/toyota/corolla/2016/s-plus/?vehicleid=411868&intent=buy-new&category=sedan
COMPACT,Volkswagen,Beetle,"Hatchback 1.8T SE 4-Cyl, Turbo, 1.8 L Manual, 5-Spd","$19,039 - $20,798",https://www.kbb.com/volkswagen/beetle/2016/18t-se/?vehicleid=412246&intent=buy-new&category=hatchback
COMPACT,Volkswagen,Beetle,"Hatchback R-Line SE 4-Cyl, Turbo, 2.0 L Manual, 6-Spd (Sold Orders Only)","$23,026 - $25,152",https://www.kbb.com/volkswagen/beetle/2016/r-line-se/?vehicleid=412248&intent=buy-new&category=hatchback
COMPACT,Volkswagen,Beetle,"Hatchback R-Line SEL 4-Cyl, Turbo, 2.0 L Manual, 6-Spd (Sold Orders Only)","$27,709 - $30,271",https://www.kbb.com/volkswagen/beetle/2016/r-line-sel/?vehicleid=412268&intent=buy-new&category=hatchback
COMPACT,Volkswagen,Beetle,"Convertible R-Line S 4-Cyl, Turbo, 2.0 L Manual, 6-Spd (Sold Orders Only)","$26,280 - $28,707",https://www.kbb.com/volkswagen/beetle/2016/r-line-s/?vehicleid=412249&intent=buy-new&category=convertible
COMPACT,Volkswagen,Beetle,"Convertible R-Line SE 4-Cyl, Turbo, 2.0 L Manual, 6-Spd (Sold Orders Only)","$27,815 - $30,385",https://www.kbb.com/volkswagen/beetle/2016/r-line-se/?vehicleid=412272&intent=buy-new&category=convertible
COMPACT,Volkswagen,Beetle,"Convertible R-Line SEL 4-Cyl, Turbo, 2.0 L Manual, 6-Spd (Sold Orders Only)","$30,711 - $33,546",https://www.kbb.com/volkswagen/beetle/2016/r-line-sel/?vehicleid=412265&intent=buy-new&category=convertible
COMPACT,Volkswagen,Golf/Sportwagen,"TSI S Manual, 5-Spd","$19,168 - $21,005",https://www.kbb.com/volkswagen/golf-sportwagen/2016/tsi-s/?vehicleid=412655&intent=buy-new&category=wagon
COMPACT,Volkswagen,Jetta/Sportwagen,,,
MID-SIZED,Honda,Accord,"4-door LX 4-Cyl, i-VTEC, 2.4 L Manual, 6-Spd","$19,968 - $21,702",https://www.kbb.com/honda/accord/2016/lx/?vehicleid=411888&intent=buy-new&category=sedan
MID-SIZED,Honda,Accord,"4-door Sport 4-Cyl, i-VTEC, 2.4 L Manual, 6-Spd","$21,753 - $23,640",https://www.kbb.com/honda/accord/2016/sport/?vehicleid=411891&intent=buy-new&category=sedan
MID-SIZED,Honda,Accord,"4-door EX 4-Cyl, i-VTEC, 2.4 L Manual, 6-Spd","$22,891 - $24,878",https://www.kbb.com/honda/accord/2016/ex/?vehicleid=411898&intent=buy-new&category=sedan
MID-SIZED,Mazda,MAZDA6,"i Sport Manual, 6-Spd SKYACTIV","$20,583 - $21,638",https://www.kbb.com/mazda/mazda6/2016/i-sport/?vehicleid=406851&intent=buy-new&category=sedan
MID-SIZED,Mazda,MAZDA6,"i Sport Automatic, 6-Spd SKYACTIV-Drive Sport w/Manual Mode","$21,966 - $23,092",https://www.kbb.com/mazda/mazda6/2016/i-sport/?vehicleid=406854&intent=buy-new&category=sedan
MID-SIZED,Mazda,MAZDA6,"i Touring Manual, 6-Spd SKYACTIV","$22,842 - $24,010",https://www.kbb.com/mazda/mazda6/2016/i-touring/?vehicleid=406853&intent=buy-new&category=sedan
MID-SIZED,Mazda,MAZDA6,"i Touring Automatic, 6-Spd SKYACTIV-Drive Sport w/Manual Mode","$23,811 - $25,028",https://www.kbb.com/mazda/mazda6/2016/i-touring/?vehicleid=406855&intent=buy-new&category=sedan
MID-SIZED,Mazda,MAZDA6,"i Grand Touring Automatic, 6-Spd SKYACTIV-Drive Straight Shifter w/Manual Mode","$28,686 - $30,151",https://www.kbb.com/mazda/mazda6/2016/i-grand-touring/?vehicleid=406856&intent=buy-new&category=sedan
MID-SIZED,Volkswagen,Passat,,,
MID-SIZED,Volkswagen,CC,"2.0T Trend 4-Cyl, Turbo, 2.0 L Manual, 6-Spd Front-Wheel Drive (Sold Orders Only)","$27,720 - $30,183",https://www.kbb.com/volkswagen/cc/2016/20t-trend/?vehicleid=412640&intent=buy-new&category=sedan
MID-SIZED,Volkswagen,CC,"2.0T R-Line 4-Cyl, Turbo, 2.0 L Manual, 6-Spd Front-Wheel Drive (Sold Orders Only)","$30,459 - $33,156",https://www.kbb.com/volkswagen/cc/2016/20t-r-line/?vehicleid=412636&intent=buy-new&category=sedan
MID-SIZED,Jeep,Renegade/Fiat 500X,,,
MID-SIZED,Jeep,Compass/ Patriot,,,
MID-SIZED,Jeep,Wrangler,"4-door Unlimited Sport Manual, 6-Spd","$26,698 - $27,977",https://www.kbb.com/jeep/wrangler/2016/unlimited-sport/?vehicleid=412551&intent=buy-new&category=suv
MID-SIZED,Jeep,Wrangler,"4-door Unlimited Sport S Manual, 6-Spd","$29,553 - $30,977",https://www.kbb.com/jeep/wrangler/2016/unlimited-sport-s/?vehicleid=412528&intent=buy-new&category=suv
MID-SIZED,Jeep,Wrangler,"4-door Unlimited Willys Wheeler Manual, 6-Spd","$30,732 - $32,205",https://www.kbb.com/jeep/wrangler/2016/unlimited-willys-wheeler/?vehicleid=412523&intent=buy-new&category=suv
MID-SIZED,Jeep,Wrangler,"4-door Unlimited Black Bear Manual, 6-Spd","$31,121 - $32,612",https://www.kbb.com/jeep/wrangler/2016/unlimited-black-bear/?vehicleid=412559&intent=buy-new&category=suv
MID-SIZED,Jeep,Wrangler,"4-door Unlimited Freedom Manual, 6-Spd","$32,322 - $33,857",https://www.kbb.com/jeep/wrangler/2016/unlimited-freedom/?vehicleid=412509&intent=buy-new&category=suv
MID-SIZED,Jeep,Wrangler,"4-door Unlimited Sahara Manual, 6-Spd","$32,241 - $33,794",https://www.kbb.com/jeep/wrangler/2016/unlimited-sahara/?vehicleid=412531&intent=buy-new&category=suv
